ticker,date,title,url,domain,language,tone,source
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://www.channelnewsasia.com/news/business/google-s-g-suite-is-no-microsoft-killer--but-still-winning-converts-9916404,channelnewsasia.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"New Report on Identity & Access Management Market CAGR of +12 % by 2022 – Competition , Status , Emerging Trends , Growth Factors , Value Chain and Key Players",http://www.ssuchronicle.com/2018/02/01/new-report-on-identity-access-management-market-cagr-of-12-by-2022-competition-status-emerging-trends-growth-factors-value-chain-and-key-players/,ssuchronicle.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://www.reuters.com/www.reuters.com/article/us-alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idUSKBN1FL3ZX,reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://uk.reuters.com/uk.reuters.com/article/uk-alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idUKKBN1FL40V,uk.reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://in.reuters.com/in.reuters.com/article/alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idINKBN1FL3ZT,in.reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts - Tech News",https://www.thestar.com.my/tech/tech-news/2018/02/01/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts/,thestar.com.my,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",http://www.4-traders.com/S-AMP-P-500-4985/news/Google-s-G-Suite-is-no-Microsoft-killer-but-still-winning-converts-25908717/,4-traders.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://in.reuters.com/article/alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idINKBN1FL3ZT,in.reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://www.reuters.com/article/us-alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idUSKBN1FL3ZX,reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts | Business",https://ca.reuters.com/article/businessNews/idCAKBN1FL3ZX-OCABS,ca.reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://www.nasdaq.com/article/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-20180201-00030,nasdaq.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",http://www.4-traders.com/COLGATE-PALMOLIVE-COMPANY-12089/news/Google-s-G-Suite-is-no-Microsoft-killer-but-still-winning-converts-25908654/,4-traders.com,English,0.0,gdelt_gkg
OKTA,2018-02-01,"Google G Suite is no Microsoft killer , but still winning converts",https://uk.reuters.com/article/uk-alphabet-gsuite/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts-idUKKBN1FL40V,uk.reuters.com,English,0.0,gdelt_gkg
OKTA,2018-02-02,"Google G Suite is no Microsoft killer , but still winning converts | Tech / Gadgets",http://www.themalaymailonline.com/tech-gadgets/article/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts,themalaymailonline.com,English,0.0,gdelt_gkg
OKTA,2018-02-02,"Google G Suite is no Microsoft killer , but still winning converts | Tech / Gadgets | Mobile",http://m.themalaymailonline.com/tech-gadgets/article/googles-g-suite-is-no-microsoft-killer-but-still-winning-converts,m.themalaymailonline.com,English,0.0,gdelt_gkg
OKTA,2018-02-02,"Stocks That May Be Worth Big Bets : Okta , Inc . ( OKTA ), Ashford Hospitality Prime , Inc . ( AHP ) – Analyst Journal",http://thewellesleysnews.com/2018/02/01/stocks-that-may-be-worth-big-bets-okta-inc-okta-ashford-hospitality-prime-inc-ahp/,thewellesleysnews.com,English,0.0,gdelt_gkg
OKTA,2018-02-03,Impax Laboratories ( IPXL ) Downgraded to Sell at BidaskClub,http://expressnewsline.com/2018/02/03/impax-laboratories-ipxl-downgraded-to-sell-at-bidaskclub.html,expressnewsline.com,English,0.0,gdelt_gkg
OKTA,2018-02-04,"New Innovations on Identity & Access Management Market CAGR of +12 % by 2022 - Competition , Status , Emerging Trends , Growth Factors , Value Chain and Key Players",https://www.openpr.com/news/929644/New-Innovations-on-Identity-Access-Management-Market-CAGR-of-12-by-2022-Competition-Status-Emerging-Trends-Growth-Factors-Value-Chain-and-Key-Players.html,openpr.com,English,0.0,gdelt_gkg
OKTA,2018-02-06,"Multifactor Authentication Market ; End - user Industry - BFSI , Government , Healthcare , Retail , and Telecom & IT - Global Industry Analysis , Size , Share , Growth , Trends and Forecast , 2017 - 2025",https://www.marketwatch.com/story/multifactor-authentication-market-end-user-industry---bfsi-government-healthcare-retail-and-telecom-it---global-industry-analysis-size-share-growth-trends-and-forecast-2017---2025-2018-02-06,marketwatch.com,English,0.0,gdelt_gkg
OKTA,2018-02-06,Multifactor Authentication Market ; End - user Industry,https://www.prnewswire.com/news-releases/multifactor-authentication-market--end-user-industry---bfsi-government-healthcare-retail-and-telecom--it---global-industry-analysis-size-share-growth-trends-and-forecast-2017---2025-300594223.html,prnewswire.com,English,0.0,gdelt_gkg
OKTA,2018-02-06,"Multifactor Authentication Market ; End - user Industry - BFSI , Government , Healthcare , Retail , and Telecom & IT - Global Industry Analysis , Size , Share , Growth , Trends and Forecast , 2017",http://www.tmcnet.com/usubmit/2018/02/06/8695310.htm,tmcnet.com,English,0.0,gdelt_gkg
OKTA,2018-02-06,Okta : Digital Privacy Upstart Plots a Growth Trajectory,https://www.gurufocus.com/news/635855/okta-digital-privacy-upstart-plots-a-growth-trajectory,gurufocus.com,English,0.0,gdelt_gkg
OKTA,2018-02-06,23 NYCRR Part 500 : How Financial Institutions Must Demonstrate Compliance in 2018Webinar . ,https://www.bankinfosecurity.com/webinars/23-nycrr-part-500-how-financial-institutions-must-demonstrate-w-1496,bankinfosecurity.com,English,0.0,gdelt_gkg
OKTA,2018-02-07,"Future of Consumer Identity Access Management Market Size , Share",https://www.openpr.com/news/935564/Future-of-Consumer-Identity-Access-Management-Market-Size-Share-Industry-Trends-2017-2025.html,openpr.com,English,0.0,gdelt_gkg
OKTA,2018-02-08,Okta : to Participate in the 2018 Goldman Sachs Technology and Internet Conference,http://www.4-traders.com/OKTA-INC-34515216/news/Okta-to-Participate-in-the-2018-Goldman-Sachs-Technology-and-Internet-Conference-25957733/,4-traders.com,English,0.0,gdelt_gkg
OKTA,2018-02-09,"Global Multifactor Authentication Market Is Slated To Be Worth US$20 , 444 . 9 mn by 2025 At A CAGR Of 17 . 7 % ",https://www.openpr.com/news/938638/Global-Multifactor-Authentication-Market-Is-Slated-To-Be-Worth-US-20-444-9-mn-by-2025-At-A-CAGR-Of-17-7-Governments-to-Boost-Uptake-as-Need-for-Better-Security-Measures-Grows.html,openpr.com,English,0.0,gdelt_gkg
OKTA,2018-02-13,SailPoint et Okta sassocient pour offrir une gestion des identités de bout en bout au sein de lentreprise,http://www.itespresso.fr/press-release/sailpoint-et-okta-sassocient-pour-offrir-une-gestion-des-identits-de-bout-en-bout-au-sein-de-lentreprise,itespresso.fr,French,0.0,gdelt_gkg
